gender,age,recommended cal,carbo1,carbo2,protein1,protein2,fat1,fat2,sugar1,sugar2,na,chol,saturated fat,trans fat
1,0,550,60,60,10,15,25,25,13.75,27.5,120,300,3.666666667,0.611111111
1,1,700,90,90,10,15,25,25,17.5,35,370,300,4.666666667,0.777777778
1,2,1000,137.5,162.5,12,15,22.22222222,38.88888889,25,50,900,300,6.666666667,1.111111111
1,3,1400,192.5,227.5,15,20,23.33333333,46.66666667,35,70,1000,300,9.333333333,1.555555556
1,4,1700,233.75,276.25,25,30,28.33333333,56.66666667,42.5,85,1200,300,11.33333333,1.888888889
1,5,2100,288.75,341.25,35,40,35,70,52.5,105,1400,300,14,2.333333333
1,6,2500,343.75,406.25,45,55,41.66666667,83.33333333,62.5,125,1500,300,16.66666667,2.777777778
1,7,2700,371.25,438.75,50,65,45,90,67.5,135,1500,300,18,3
1,8,2600,357.5,422.5,50,65,43.33333333,86.66666667,65,130,1500,300,17.33333333,2.888888889
1,9,2400,330,390,50,60,40,80,60,120,1500,300,16,2.666666667
1,10,2200,302.5,357.5,50,60,36.66666667,73.33333333,55,110,1500,300,14.66666667,2.444444444
1,11,2000,275,325,45,55,33.33333333,66.66666667,50,100,1300,300,13.33333333,2.222222222
1,12,2000,275,325,45,55,33.33333333,66.66666667,50,100,1100,300,13.33333333,2.222222222
0,0,550,75.625,89.375,10,15,9.166666667,18.33333333,13.75,27.5,120,300,3.666666667,0.611111111
0,1,700,96.25,113.75,10,15,11.66666667,23.33333333,17.5,35,370,300,4.666666667,0.777777778
0,2,1000,137.5,162.5,12,15,16.66666667,33.33333333,25,50,900,300,6.666666667,1.111111111
0,3,1400,192.5,227.5,15,20,23.33333333,46.66666667,35,70,1000,300,9.333333333,1.555555556
0,4,1500,206.25,243.75,20,25,25,50,37.5,75,1200,300,10,1.666666667
0,5,1800,247.5,292.5,30,40,30,60,45,90,1400,300,12,2
0,6,2000,275,325,40,50,33.33333333,66.66666667,50,100,1500,300,13.33333333,2.222222222
0,7,2000,275,325,40,50,33.33333333,66.66666667,50,100,1500,300,13.33333333,2.222222222
0,8,2100,288.75,341.25,45,55,35,70,52.5,105,1500,300,14,2.333333333
0,9,1900,261.25,308.75,40,50,31.66666667,63.33333333,47.5,95,1500,300,12.66666667,2.111111111
0,10,1800,247.5,292.5,40,50,30,60,45,90,1500,300,12,2
0,11,1600,220,260,40,45,26.66666667,53.33333333,40,80,1300,300,10.66666667,1.777777778
0,12,1600,220,260,40,45,26.66666667,53.33333333,40,80,1100,300,10.66666667,1.777777778
