,,,일반성분 Proximates,,,,,,,,아미노산 Amino acids,,,지방산 Fatty acids,,,,,콜레,식염,폐기율,출처,,,,무기질 Minerals,,,,,,,,,,,,비타민 Vitamins,,,,,,,,,,,,,,출처
색인,식품코드,식품명,에너지,수분,단백질,지질,회분,"탄수
화물",총 당류,"총 
식이섬유",총 ,필수 ,비필수 ,총,총 필수,총 포화 ,"총 단일
불포화","총 다중
불포화",스테롤,상당량,,,색인,식품코드,식품명,칼슘,철,마그네슘,인,칼륨,나트륨,아연,구리,망간,셀레늄,몰리브덴,요오드,레티놀,베타카로틴,비타민 D,비타민 E,비타민 K1,비타민 B1,비타민 B2,니아신,판토텐산,비타민 B6,비오틴,"엽산
(DFE)",비타민 B12,비타민 C,
Index,Food Code,Food and Description,ENERC,WATER,PROCNP,FAT,ASH,CHOTDF,SUGAR,FIBTG,AAT19,AAE10A,AANE,FAFREF,FAESSF,FASATF,FAMSF,FAPUF,CHOLE,NACL,Ref,Source,Index,Food Code,Food and Description,CA,FE,MG,P,K,NA,ZN,CU,MN,SE,MO,ID,RETOL,CARTB,VITD,VITE,VITK1,THIA,RIBF,NIA,PANTAC,PYRXN,BIOT,FOL,VITB12,VITC,Source
,,,kcal,g,g,g,g,g,g,g,mg,mg,mg,g,g,g,g,g,mg,g,%,,,,,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,mg,μg,mg,mg,mg,mg,mg,μg,μg,μg,mg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A001001A010a,"귀리, 겉귀리, 도정, 생것",373 ,9.4 ,11.4 ,3.7 ,2.0 ,73.5 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('93),1,A001001A010a,"귀리, 겉귀리, 도정, 생것",16 ,6.6 ,-,175 ,574 ,2 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.13 ,0.21 ,2.3,-,-,-,-,-,0 ,농진청('93)
,,"Oat(Covered oat), Polished, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Oat(Covered oat), Polished, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A001002A010a,"귀리, 쌀귀리, 도정, 생것",371 ,9.7 ,14.3 ,3.8 ,1.8 ,70.4 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('93),2,A001002A010a,"귀리, 쌀귀리, 도정, 생것",18 ,7.0 ,-,183 ,385 ,3 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.15 ,0.46 ,2.2,-,-,-,-,-,0 ,농진청('93)
,,"Oat(Naked oat), Polished, Raw",,,,,,,,,,,,,,,,,,,,,,,"Oat(Naked oat), Polished, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A0020000009a,"귀리, 오트밀",382 ,12.0 ,13.2 ,8.2 ,1.7 ,64.9 ,-,18.8 ,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('11),3,A0020000009a,"귀리, 오트밀",60 ,5.8 ,-,381 ,383 ,4 ,-,-,-,-,-,-,0 ,3 ,-,-,-,-,0.07 ,1.1,-,-,-,-,-,tr,농진청('11)
,,"Oat, Oatmeal",,,,,,,,,,,,,,,,,,,,,,,"Oat, Oatmeal",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A003000A010a,"기장, 도정, 생것",360 ,11.3 ,11.2 ,1.9 ,1.0 ,74.6 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('06),4,A003000A010a,"기장, 도정, 생것",15 ,2.8 ,-,226 ,233 ,6 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.42 ,0.09 ,2.9,-,-,-,-,-,0 ,농진청('06)
,,"Prosomillet, Polished, Raw",,,,,,,,,,,,,,,,,,,,,,,"Prosomillet, Polished, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
